TETA,gene:plasmid:123352,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:123353,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:123355,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:84615,likely IS/TE,55,Donor & PostFMT Only
YDEI,gene:proph:159061,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:163928,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:163940,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:172451,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:177577,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:182930,prophage,55,Donor & PostFMT Only
CORA,gene:plasmid:24561,plasmid,56,Donor & PostFMT Only
DNAK,gene:plasmid:158140,plasmid,56,Donor & PostFMT Only
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,4,Donor & PostFMT Only
ERMF,gene:plasmid:141421,5,Donor & PostFMT Only
AAC3,gene:plasmid:14303,8,Donor & PostFMT Only
AAC3,gene:plasmid:14304,8,Donor & PostFMT Only
AAC3,gene:plasmid:158830,8,Donor & PostFMT Only
CORA,gene:plasmid:24561,8,Donor & PostFMT Only
